Date,Open,High,Low,Close*,Adj Close**,Volume,Daily_Return,Log_Return,MA_20,Volatility_20,Intraday_Range,DayOfWeek,Month,Quarter,RSI,MACD,MACD_Signal,MACD_Diff,Bollinger_High,Bollinger_Low,Bollinger_Percent,Bollinger_Width,OBV,ADX,Anomaly
2023-03-20,31872.33,32280.07,31872.33,32244.58,32244.58,357210000,-0.009705595105741205,-0.009753001380707747,33082.3935,0.006782595602160116,407.73999999999796,0,3,1,32.08504724953703,-439.05555135533723,,,34413.42058692611,31751.366413073887,0.18527556342416251,8.046739949007094,-2268430000,47.75455216501316,1.0
2023-03-17,32217.32,32217.32,31728.7,31861.98,31861.98,712100000,-0.011865560041408596,-0.01193651765875498,32976.133499999996,0.007049660603964913,488.619999999999,4,3,1,27.55782480339714,-466.8181743681016,,,34340.17985398179,31612.087146018206,0.09159983942346624,8.27293080907616,-2980530000,48.07551887949042,1.0
2023-03-16,31827.65,32281.61,31571.46,32246.55,32246.55,440940000,0.012069871363926454,0.011997611331655651,32894.1375,0.007834005396474547,710.1500000000015,3,3,1,37.15637229569974,-452.5717032314569,,,34226.22045079361,31562.054549206383,0.256926736576658,8.099211908466147,-2539590000,48.60330821377237,1.0
2023-03-15,31759.87,31906.47,31429.82,31874.57,31874.57,420910000,-0.011535497595866806,-0.011602547583657124,32786.3815,0.00791956752883207,476.65000000000146,2,3,1,32.6500088958624,-465.92604404199665,,,34081.76069043461,31491.002309565396,0.14805228201400802,7.9019344689477675,-2960500000,49.28851136036119,1.0
2023-03-14,32055.29,32306.59,31805.4,32155.4,32155.4,391760000,0.008810471796168562,0.00877188606292046,32711.826500000003,0.00811840391079666,501.1899999999987,1,3,1,38.69502190802024,-448.6767550013428,,,33971.763093155,31451.889906845005,0.2791847212697197,7.7032482007997825,-2568740000,48.14786953120623,1.0
2023-03-13,31819.93,32240.35,31624.87,31819.14,31819.14,429090000,-0.010457341535169862,-0.01051240373706164,32618.544,0.008277501760699461,615.4799999999996,0,3,1,34.681099716186736,-456.8733888868519,-449.72311787965646,-7.1502710071954425,33852.513190270176,31384.574809729827,0.17608429517394397,7.5660592960260535,-2997830000,47.42679269344378,1.0
2023-03-10,32185.14,32422.1,31783.41,31909.64,31909.64,397790000,0.0028442000632322717,0.002840162979270486,32534.7,0.008373359281489749,638.6899999999987,4,3,1,36.58763930594242,-450.86934547650526,-449.95236339902624,-0.9169820774790196,33721.15445176797,31348.245548232033,0.23658491522005612,7.293470981862256,-2600040000,46.05254575768937,1.0
2023-03-09,32876.83,32990.46,32190.6,32254.86,32254.86,315860000,0.010818674231360736,0.010760571065798434,32473.178499999998,0.008886352041802182,799.8600000000006,3,3,1,43.37704201310409,-413.4882932834771,-442.6595493759164,29.171256092439307,33581.09203533163,31365.264964668364,0.4014731325876221,6.823560775435852,-2284180000,43.00034971109664,1.0
2023-03-08,32872.08,32903.44,32612.7,32798.4,32798.4,242750000,0.016851414019468658,0.016711004150040242,32438.9625,0.009819586526289326,290.7400000000016,2,3,1,52.07708028034627,-336.129710587702,-421.35358161827355,85.22387103057156,33458.819578180584,31419.105421819415,0.6762195447234798,6.287852628952511,-2041430000,40.16616766783195,1.0
2023-03-07,33428.31,33453.25,32838.21,32856.46,32856.46,299400000,0.001770208302843912,0.0017686433307384025,32411.6665,0.009832258999298335,615.0400000000009,1,3,1,52.9094053751785,-267.0590294375943,-390.4946711821377,123.43564174454343,33353.13043987823,31470.20256012177,0.7362243954120693,5.80941396443303,-1742030000,38.37893377302733,1.0
2023-03-06,33425.32,33572.22,33383.47,33431.44,33431.44,329190000,0.0174997549949083,0.017348397543339097,32403.181,0.010560399819021167,188.75,0,3,1,60.268795719347,-164.03306523807623,-345.20234999332547,181.16928475524924,33303.78065254049,31502.581347459516,1.070874637303824,5.558711365655651,-1412840000,36.96170505585775,1.0
2023-03-03,33076.33,33405.82,33008.41,33390.97,33390.97,300050000,-0.0012105371470687576,-0.0012112704390054637,32409.022000000004,0.01032487951507356,397.4099999999962,4,3,1,59.56320819210007,-84.67377060611398,-293.0966341158832,208.42286350976923,33333.34406883967,31484.699931160336,1.0311719978906637,5.704103436627421,-1712890000,34.63370859295671,1.0
2023-03-02,32780.97,33083.45,32665.85,33003.57,33003.57,317450000,-0.01160193908712448,-0.011669766714127387,32416.249,0.010270006300182662,417.59999999999854,3,3,1,53.14871635433032,-52.43644551718171,-244.96459639614292,192.5281508789612,33356.65231436891,31475.845685631084,0.8122708049971843,5.802048931502926,-2030340000,32.63198209780826,1.0
2023-03-01,32656.37,32746.15,32500.71,32661.84,32661.84,292810000,-0.010354334394733655,-0.010408313449870189,32413.461000000003,0.010498381007225475,245.44000000000233,2,3,1,48.216026952464205,-53.842228475801676,-206.74012281207467,152.897894336273,33350.599092660865,31476.322907339138,0.6325199572747939,5.782400667801957,-2323150000,31.118682855757374,1.0
2023-02-28,32873.47,32873.47,32636.43,32656.7,32656.7,303760000,-0.00015737019102413097,-0.00015738257501190652,32426.5835,0.010240189178357725,237.04000000000087,1,2,1,48.1436509307911,-54.74006722143167,-176.34011169394608,121.60004447251441,33369.60960484071,31483.557395159292,0.622009612893414,5.81637658398832,-2626910000,29.38531434294085,1.0
2023-02-27,32906.16,33189.28,32814.18,32889.09,32889.09,243660000,0.007116150743951444,0.007090950425461076,32449.433999999997,0.010347852832378298,375.09999999999854,0,2,1,51.675556987602135,-36.28145008799402,-148.32837937275568,112.04692928476166,33413.791850186346,31485.07614981365,0.7279527251813431,5.943757602590841,-2383250000,27.554062041372926,1.0
2023-02-24,32999.19,32999.19,32643.48,32816.92,32816.92,277120000,-0.0021943446899868047,-0.0021967557921345835,32478.403500000004,0.010251775423589269,355.71000000000276,4,2,1,50.524664908867884,-27.163257745978626,-124.09535504740028,96.93209730142165,33450.338511454494,31506.468488545517,0.6741456455475385,5.985115687441278,-2660370000,25.722754863586395,1.0
2023-02-23,33175.39,33272.4,32795.67,33153.91,33153.91,288120000,0.01026878817390564,0.010216422352541837,32530.836500000005,0.010382471806692987,476.7300000000032,3,2,1,55.50754871176441,7.172571100287314,-97.84176981786275,105.01434091815007,33529.37237213031,31532.3006278697,0.811993548449449,6.1390113477733985,-2372250000,24.374635579818367,1.0
2023-02-22,33169.33,33245.97,32948.27,33045.09,33045.09,321910000,-0.00328226746106286,-0.003287665916926578,32581.585500000005,0.010403683251866126,297.70000000000437,2,2,1,53.62922714428889,25.311325084105192,-73.21115083746916,98.52247592157435,33576.33067883679,31586.84032116322,0.7329764998418958,6.1061803075039744,-2694160000,23.122810530605197,1.0
2023-02-21,33699.69,33699.69,33115.74,33129.59,33129.59,348320000,0.002557112115597171,0.002553848267244711,32610.034999999996,0.009798180251290667,583.9500000000044,1,2,1,54.90530171087733,45.97489216448594,-49.37394223707815,95.34883440156409,33632.900671913965,31587.169328086024,0.753970298479085,6.2733184549723475,-2345840000,22.905895011378526,1.0
2023-02-17,33677.01,33846.64,33517.73,33826.69,33826.69,302900000,0.021041612648994734,0.02082329510909017,32689.1405,0.010435957864117405,328.9099999999962,4,2,1,63.7644116792596,117.24948298626987,-16.049257192408547,133.29874017867843,33825.16949111731,31553.11150888269,1.0006692209858112,6.950497772294205,-2042940000,22.97403116764196,1.0
2023-02-16,33992.09,34041.16,33686.59,33696.85,33696.85,317530000,-0.003838389153653643,-0.003845774674360352,32780.884000000005,0.01000176483420399,354.570000000007,3,2,1,61.34697093054769,161.39761559038743,19.440117364150645,141.9574982262368,33931.167086120986,31630.60091387902,0.8981480780912992,7.018011388106447,-2360470000,23.38032726266153,1.0
2023-02-15,34008.63,34130.49,33833.1,34128.05,34128.05,267530000,0.012796448332707877,0.012715265621124218,32874.958999999995,0.010038266067460663,297.3899999999994,2,2,1,65.96220590284764,228.54504010255187,61.26110191183089,167.28393819072096,34137.345405707856,31612.572594292138,0.9963183199431552,7.679926875089695,-2092940000,23.911740885358267,1.0
2023-02-14,34194.09,34331.47,33827.45,34089.27,34089.27,288820000,-0.0011363086962192792,-0.0011369547844293061,32985.694,0.0095071646671267,504.0200000000041,1,2,1,65.20811162897218,275.4553579955318,104.09995312857109,171.35540486696073,34266.05531115244,31705.332688847564,0.9309627252820835,7.7631309570290625,-2381760000,24.742634133121896,1.0
2023-02-13,33887.39,34249.6,33887.39,34245.93,34245.93,302600000,0.0045955809555324745,0.0045850535141907,33090.2205,0.00942746607808728,362.2099999999991,0,2,1,66.85651554625939,321.56645767812006,147.5932540384809,173.97320363963917,34422.655586651126,31757.78541334888,0.9336832283907731,8.053346677766157,-2079160000,25.51417786318813,1.0
